HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEHANK,LINEBIHL,LINEERIC,LINEGRID,LINEFOX,LINEFREE,LINESELF,LINECPA2,VSCORE,HSCORE,WEEK
Kansas City,Indianapolis,-3,-0.51,-1.25,5.64,7.45,7.4,-2.59,-0.31,-0.5,1.9,2.11,-1.41,7.2,5,7.95,4.17,5.07,1.84,0.92,-2,4.99,-2,-3,4.58,5.76,-0.5,0,-1,-1.48,,35,28,8
Philadelphia,Oakland,1.5,3.32,4.7,7.02,-0.95,16.2,3.99,3.55,-5.3,0.94,0.92,3.46,-2.6,6.2,7.48,4.67,1.09,2.63,0.07,0,6.7,2,-1,6.56,-4.13,0,-2,1,3.59,,20,10,8
Pittsburgh,Tennessee,3,7.59,10.71,10.97,14.94,18.4,11.91,10.5,6.9,15.11,6.43,8.44,5.5,4.5,10.8,10.12,5.21,8.31,7.02,1,10.64,6,10,11.4,-7.33,20.5,2,1,8.66,,7,34,8
San Diego,Buffalo,7,11.37,10.61,24.61,22.5,35.8,16.18,9.94,8.8,16.12,8.08,18.71,16.9,6,25.8,15.24,12.67,14.67,10.43,8,19.7,10,12,22.04,5.71,24.5,6,5,9.81,,24,27,8
Seattle,Miami,-2.5,-1.14,0.86,-4.23,21.14,2.6,2.12,3.8,-2.6,4.38,-2.33,-0.77,5.2,0.4,-4.81,0.37,-4.58,-0.24,-1.16,1,1.51,-1,-1,-2.3,3.01,-2,-2,-3,1.19,,24,20,8
St. Louis,New Orleans,12.5,15.15,18.54,16.29,14.16,19.8,19.66,15.74,18.4,9.31,12.41,10.49,21.5,9.4,15.16,8.76,17.43,14.5,12.28,14,16.78,14,10,19.57,-1.86,15,15,10,14.49,,34,31,8
Tampa Bay,Minnesota,3,0.45,2.86,0.07,-9.4,6.8,0.89,3.46,2.6,-0.82,5.44,4.64,0.8,4.9,-0.1,1.97,7.07,2.99,8.67,4,0.64,2,-2,1.8,4.23,1,7,4,2.38,,14,41,8
Washington,N.Y. Giants,-7.5,-11.34,-15.36,-18.44,-22.21,-10,-12.51,-1.26,-7.8,-10.41,-7.68,-11.92,-15.2,-5.5,-12.81,-9.85,-17.9,-10.87,-5.41,-7,-13.45,-8,-11,-15.81,-14.27,-10,-12,-5,-7.35,,21,34,8
Arizona,Philadelphia,-7,-4.75,-6.75,-9.87,-26.92,-13,-6.12,-0.04,-13.2,-10.24,-6.45,-4.78,-2.4,-5.1,-10.36,-6.73,-11.91,-7.32,-8.01,-8,-5.44,-5,-6,-7.12,-8,-9.5,-11,-6,-1.58,,21,7,9
Atlanta,New England,3,2.83,8.7,3.54,-7.22,11,6.18,3.69,-2.7,0.78,0.62,6.68,1.5,3.2,1.88,1.81,-3.91,2.69,-4.06,2,4.22,1,1,3.51,-2.1,9.5,-5,4,4.22,,24,10,9
Buffalo,Indianapolis,-3.5,-2.74,-5.3,-2.86,-8.87,-6,-4.09,0.32,-2.5,-5.04,-0.65,-3.49,-0.1,-3.7,-3.18,-1.34,-2.15,-3.24,-1.44,-4,-0.09,-4,-6,-2.86,-18.9,-18,-3,-2,-0.01,,30,14,9
