Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,linens,linecpa,linemass,linemore,linebemiss,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,linensr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,lineglenn,linedudley,lineash,lineburl,linestd,vscore,hscore,week,difference
Buffalo,Denver,-9,-12.25,-7.43,-11,-5.46,-8.64,-11.04,-8,-18,-10.08,,-9.02,-8.3,-5.74,-7.39,-8.29,-4.12,-7,-11.67,-7.45,-12,-7.23,-11,-9,-12.06,5,-11.09,-13.56,-6.28,-10.9,-7.5,,-4.86,-4,-9,-10.22,-8.1,-11.7,-8.99,-12.84,-10.15,-5.08,-11.68,-9,-7,-10,-4,-15.5,4.0146313587,28,17,15,-11
Chicago,Atlanta,3.5,5.56,3.53,4,3,2.62,4,1,12.5,1.89,,1.85,2.3,2.56,4.92,6.45,4.52,3,4.07,3.51,3.1,2.53,0.01,3.5,4.63,-4,6.17,4.94,4.72,9.37,3,,4.1,-8,3.4,4.6,4.6,2.5,2.43,5,3.55,4.19,1.73,3.1,1,-3,3,-2.5,3.488190892,3,16,15,13
Detroit,Cincinnati,-7.5,-7.25,-6.2,-9,-6.7,-7.19,-7.66,-6,-9.5,-9.9,,-7,-7.6,-6.85,-4.95,-9.82,-2.85,-6,-7.32,-3.92,-3,-12.56,-9,-7.5,-8.01,2,-10.19,-4.76,-6.83,-10.6,-7,,-3.81,-10,-6.9,-7.9,-7.1,-8.5,-10.15,-7.39,-8.09,-7.03,-11.32,-7.25,-9,-15,-4,-5.5,2.6271733041,41,17,15,-24
Houston,Arizona,-1.5,-1.13,-1.9,-4,0.41,-1.43,-1.97,-1,-7.5,-5.97,,-3.75,-2.9,-4.87,-1.35,-2.8,-0.52,-3,0.98,-1.88,3.5,-5.32,-1,-1.5,-0.72,6,-4.12,1,0.12,-2.87,-1,,-0.73,-3,-1.7,-1.44,-4.2,-3.4,-1.2,-1.21,-5.17,1.96,-2.15,-1.44,1,-5,1,-1.5,2.4813597989,19,30,15,11
Indianapolis,San Diego,7.5,13.43,7.63,14,6.78,8.17,11.04,10,8,2.93,,10.06,8.8,8.94,6.47,9.66,7.39,7,8.75,5.34,8,6.99,5,7.5,8.45,5,19.36,7.22,5.22,16.93,7.5,,9.44,7,10.5,9.27,16.5,5.9,8.76,7.09,10.02,8.03,4.49,8.03,11,-3,6,5.5,3.7388543182,26,17,15,-9
Jacksonville,San Francisco,16,20.34,16.53,16,19.24,16.15,17.39,18,17.5,13.09,,15.34,18.6,9.52,14.58,17.1,11.98,14,20.61,15.93,21,27.01,20,16,20.28,13,20.54,22.29,17.02,18.9,14.5,,11.57,10,16,16.54,15.4,12.4,11.02,21.48,18.17,13.53,12.48,16.54,24,2,17,19.5,3.440863795,9,10,15,1
Miami,N.Y. Jets,8.5,6.9,8.22,7,6.79,7.03,7.08,6,5.5,6.33,,8.88,11.9,4.6,8.48,7.19,6.43,6,10.61,8.87,13.73,18.74,5,8.5,8.45,-3,8.85,4.53,6.63,10.2,7.5,,5.63,6,6.5,8.08,6.6,5.7,7.74,9.29,10.03,5.5,7.47,6.9,8,3,5,4.5,2.293859592,20,24,15,4
Minnesota,Pittsburgh,-3,-0.95,2.45,-2,-2.95,-1.17,-0.88,1,-6,-2.69,,0.71,-0.6,-1.81,-2.75,1.78,-0.88,1,-6.83,0.85,-0.5,-4.08,-4,-3,-3.58,-4,2.21,-4.22,2.45,-0.4,-3,,0.53,-7,-2.3,0.21,1.1,2,-4.63,-5.59,-0.67,0.03,-5.2,-0.88,-1,8,0.01,-0.5,2.6795042873,18,3,15,-15
N.Y. Giants,Kansas City,3,5.23,8.03,7,4.75,3.52,6.7,1,7,3.05,,3.62,1.8,3.83,6.15,4.32,5.44,3,5.47,4.6,5,5.43,-1,3,6.79,-3,5.85,4.44,1.66,8.19,3,,5.15,2,5.6,6.11,5.2,0.8,3.41,8.95,5.27,5.07,2.15,4.32,1,-3,6,-1.5,2.6650983964,17,27,15,10
New England,Tampa Bay,4.5,5.11,-1.51,2,3.97,3.3,3.54,8,2.5,-2.43,,1.18,3.9,0.13,0.79,3.4,1.63,3,4.43,2.56,0.72,-8.72,6,4.5,3.98,12,5.24,5.02,4.48,-0.23,4.5,,3.33,3,3.6,3.26,3.5,0.8,1.77,4.65,3.31,5.82,0.26,3.4,6,-2,6,8.5,2.7646455372,0,28,15,28
New Orleans,Carolina,-9,-5.33,-6.57,-9,-7.13,-7.49,-7.51,-8,-15.5,-7.85,,-11.68,-9.1,-4.5,-8.77,-8.67,-5.38,-7,-9.53,-7.83,-5.45,-9.69,-9,-9,-9.12,-1,-5.59,-5.21,-8.47,-8.69,-7.5,,-3.02,-7,-6.8,-8.77,-5,-8.9,-9.14,-10.62,-5.08,-8.48,-10,-8,-9,-4,-5,-11.5,2.6377764748,27,10,15,-17
Oakland,Cleveland,3,4.44,0.82,2,1.81,1.42,2.08,3,8,-2.51,,-1.57,-1,1.98,2.08,3.52,2.38,1,1.7,2.08,5,1.36,1,3,2.19,5,4.86,4.07,2.92,1.32,3,,2.98,3,1.5,3.37,3.4,-2.2,0.46,2.38,4.71,3.5,0.15,2,-2,-5,2,3.5,2.0870390097,9,7,15,-2
St. Louis,Philadelphia,3.5,-0.22,0.72,1,-0.73,0.1,-0.12,-2,-7.5,-1.9,,-1.83,1.1,2.56,3.17,-0.55,3.18,1,-0.73,-0.05,-2.29,0.51,0.01,2.5,0.04,-5,1.67,-2.2,1.47,0.65,3,,1.46,7,-1.5,1.15,1.3,-2.3,2.17,-0.88,0.92,0.04,0.86,0.04,-2,2,2,-5.5,2.5795362591,17,16,15,-1
Tennessee,Seattle,-7,-10.92,-6.78,-13,-7.26,-9.6,-11.04,-10,-12,-10.26,,-12.06,-12.3,-7.68,-8.63,-8.88,-6.56,-6,-10.33,-8.64,-10.71,-9.41,-11,-7.5,-11.62,0.01,-11.97,-10,-7.71,-12.06,-7.5,,-4.96,-11,-8.8,-10.86,-9,-10.8,-11.9,-12.88,-11.62,-4.33,-12.24,-10.33,-12,-10,-7,-13.5,2.8982350209,28,24,15,-4
Washington,Dallas,3,2.34,1.5,1,2.34,1.15,1.03,0.01,-5,-0.15,,-0.47,-0.6,3.64,0.75,0.7,1.53,1,3.34,1.96,2.5,2.29,0.01,3,1.3,4,2.84,1.75,-0.32,-0.7,3,,2.07,4,1,0.99,1.8,-1.3,-1.64,0.72,5.48,3.1,0.12,1,2,-1,3,0.5,1.8146914783,7,35,15,28
Arizona,Philadelphia,1,-3.48,-0.05,-2,-1.51,-1.06,-2.58,-3,5.5,2.04,,-0.08,2.3,0.69,2.32,0.36,2.53,-1,-0.63,-4.4,-2.47,2.41,1,1,-1.61,-8,-3.69,-3.27,1.09,-2.52,1,,-0.15,3,-1.7,-0.58,-1.8,-2.9,-3.75,-0.78,-2.7,-1.78,-0.16,-1,-1,-1,-1,-5.5,2.6404240047,21,27,16,6
Baltimore,Minnesota,3,3.47,7.15,2,7.69,3.37,2.09,4,1.5,7.26,,1.72,2.8,0.83,3.63,4.24,3.43,1,6.59,1.47,3.38,16.79,8,3,5.36,5,-0.24,7.39,1.24,-1.26,-1,,2.1,-3,3.2,3.51,-0.4,1.2,-3.22,8.02,-0.04,4.56,-0.7,3.45,7,-2,5,4.5,3.0620781825,23,30,16,7
Carolina,Dallas,5,2.43,3.3,4,6.97,5.13,3.61,7,3,7.65,,5.93,5.7,2.26,7.11,4.43,5.73,7,7.31,3.17,1.84,8.38,9,5,3.41,9,3.7,1.18,5.53,6.73,5.5,,2.9,4,2.4,3.5,3.1,3,6.21,3.49,6.28,7.48,3.66,5.62,8,7,6,7.5,2.1361004064,24,20,16,-4
Cincinnati,Buffalo,13.5,18.64,13.12,17,12.16,14.18,16.22,13,20,17.37,,14.23,13.8,8.58,13.58,15.76,10.99,16,17.99,14.97,15.72,16.4,16,13.5,18.64,-3,18.87,18.45,10.97,21.04,13,,10.73,10,14.8,14.91,13.2,10,9.84,20.07,14.3,11.33,13.44,14.51,14,22,12,17.5,4.6803229371,37,27,16,-10
Cleveland,Pittsburgh,-7,-5.01,-3.95,-5,-4.21,-5.06,-5.64,-5,-7,-4.88,,-5.76,-6.8,-5.58,-3.18,-4.72,-0.63,-6,-5.18,-4.18,-8.72,-7.28,-5,-6.5,-4.82,-9,-5.12,-5.1,-4.47,-5.89,-6.5,,-2.12,-4,-4.5,-4.43,-3.6,-5.7,-5.29,-4.98,-5.98,-5.42,-7.29,-5.01,-4,-1,-3,-7.5,1.4163964575,41,0,16,-41
Denver,Oakland,13,17.18,13.12,15,13.08,14.03,15.44,14,21,16.2,,15.21,16.3,9.18,11.17,15.39,9.02,14,15.43,13.19,18.21,15.78,15,13,15.2,9,17.73,16.77,14.4,21.08,12.5,,10.08,14,12.5,14.58,13.3,14.1,15.33,15.49,14.53,13.38,10.7,14.54,18,4,14,14.5,2.8727194414,3,22,16,19
Green Bay,Chicago,-7,-5.83,-1.35,-6,0.87,-4.2,-7.9,-1,-3,-1.88,,-6.59,-7,-5.38,-5.06,-4.35,-1.97,-7,-1.82,-4.78,-0.94,3.02,-3,-6.5,-4.48,9,-7.91,-4.1,-3.1,-9.68,-3.5,,-3.3,1,-3.8,-5.46,-5.6,-7.1,-9.03,-4.02,-4.2,-2.1,-7.92,-4.49,-5,-8,0.01,-4.5,3.553046005,24,17,16,-7
Houston,Jacksonville,-6,-10.05,-6.87,-11,-7.09,-6.87,-10.28,-6,-11.5,-9.79,,-6.41,-5,-9.15,-6.6,-5.22,-3.77,-8,-8.32,-9.98,-5.09,-15.11,-7,-6,-9.76,1,-15.68,-6.23,-8.09,-8.85,-6,,-5.49,-3,-8.3,-8.28,-10.5,-6.9,-7.98,-9.14,-13.55,-5.1,-8.06,-6.88,-4,-1,-5,-5.5,3.0017670781,38,20,16,-18
Kansas City,San Diego,-1,0.33,2.29,-2,-2,-2.45,-1.76,-2,-1.5,-3.75,,-3.91,-4.5,-0.82,-1.28,-2.99,-0.48,-1,-5.27,-0.14,-1.28,-6.37,-5,-1,-3.04,0.01,1.21,-1.97,0.55,-3.29,0.5,,0.53,-4,-3.3,-0.76,0.5,-2.9,-2.56,-4.46,-2.44,-3.12,-3.51,-2.73,-4,-9,-1,-4.5,1.8126337993,7,20,16,13
Miami,Tennessee,5.5,7.04,4.93,7,6.35,6.61,6.11,8,-1,8.6,,5.3,7.9,5.09,5.95,6.58,5,8,9.38,8.79,4.36,10.74,8,5.5,7.04,4,10.86,2.67,7.4,8.66,5.5,,5.19,4,5.2,5.81,7.4,6.8,6.64,6.49,12.3,8.02,4.07,6.72,10,6,8,9.5,2.1592884631,10,24,16,14
N.Y. Jets,New England,-5.5,-7.15,-4.17,-8,-5.12,-6.48,-7.7,-7,-3,-7.27,,-8.42,-9.2,-6.33,-4.89,-5.56,-2.29,-5,-2.53,-7.29,-4.16,1.8,-8,-5.5,-6.42,-2,-8.1,-6.3,-5.9,-11.06,-5,,-3.36,-10,-5.8,-6.61,-5.8,-8.6,-4.69,-6.39,-5.24,-6.19,-7.48,-6.4,-8,-5,-2,-8.5,2.0644801475,31,21,16,-10
New Orleans,Detroit,3,1.74,0.68,-0.25,0.46,0.98,0.31,2,-2,2.88,,0.25,2.8,0.76,0.32,0.73,0.72,1,2.77,-0.6,-1.28,-0.13,4,2.5,-0.4,5,3.64,-0.35,2.69,0.93,2.5,,1.37,-1,-0.6,-0.48,1.6,0.1,0.32,-1.59,6.13,-0.03,0,0.7,5,-1,3,1.5,1.5886953463,13,12,16,-1
Seattle,Indianapolis,10,-4.31,3.61,-2,-2.71,-1.38,-0.83,-2,3,-1.54,,-1.81,1.9,-0.19,1.8,-1.97,1.63,6,-3.13,1.08,-8.32,-5.58,-1,8.5,-1.21,-6,-3.3,-5.12,-1.39,-4.06,7.5,,-0.51,-4,-4,0.41,-2.2,-0.6,0.47,-0.82,-2.42,-4.3,-5.58,-1.46,-4,6,2,-3.5,2.6708451806,13,28,16,15
St. Louis,San Francisco,9,9.87,11.61,11,9.67,7.77,6.55,8,-2,8.43,,3.86,6.3,4.11,8.53,3.62,7.66,8,8.23,7.27,10.02,9.2,7,9,8.77,11,8.92,11.23,9.11,10.38,10,,5.63,11,5.6,8.57,6.4,2.5,10.18,10.18,6.77,8.36,6.67,8.29,8,1,10,9.5,3.0184409206,24,20,16,-4
Tampa Bay,Atlanta,3,4.59,4.96,2,1.15,2.07,3.86,1,2.5,0.11,,2.05,3.2,2.26,1.21,4.14,1.78,3,2.35,2.83,5.06,-1.32,0.01,3,2.46,-1,5.71,3.49,3.46,7.23,3,,3.44,-3,2.2,3.42,4.2,2.5,-3.25,1.4,6.4,3.65,0.59,2.31,1,-3,2,-2.5,2.2422273872,24,27,16,3
Washington,N.Y. Giants,3,0.68,3.76,-0.25,2.09,1.55,-0.37,2,-8,4.43,,-0.33,2.4,0.48,0,1.52,0.62,1,4.77,1.23,-0.06,3.65,5,3,0.51,5,1.51,-0.22,-0.4,-1.99,3,,1.25,4,0,-0.16,0.7,0.4,3.59,0.06,2.93,2.17,-1.31,0.84,3,8,0.01,0.5,2.4173682482,20,35,16,15
Atlanta,Carolina,-3.5,1.93,3.14,-0.25,0.78,0.02,0.69,1,-4,-3.03,,-2.35,-1.7,-1.13,0.33,1.23,1.17,-1,-0.11,1.63,2,-7.01,1,-2.5,1.06,2,1.37,2.5,-0.57,-2.63,-4,,1.58,-4,0.9,-0.31,0.9,-0.6,-1.36,0.85,-0.5,3.22,-4.72,0.69,-1,-4,2,-1.5,1.898981957,44,11,17,-33
Cleveland,Baltimore,-3,1.52,0.24,-0.25,0.83,-0.87,0.11,-2,3.5,-4.54,,-2.9,-3.2,-2.64,0.52,-1.07,1.37,-2,2.72,0.68,4.64,4.66,-5,-2.5,1.1,-4,1.9,1.17,0.52,-1.42,-1,,1.79,3,1.2,-0.04,1.3,-4,-1.41,0.6,2.4,1.89,-3.38,0.1,1,-10,1,-2.5,2.2194509153,16,20,17,4
Dallas,St. Louis,12.5,14.77,11.79,13,9.72,11.11,12.79,13,18,11.59,,12.89,15,9.14,7.15,13.89,6.13,10,13.66,11.66,12.93,13.78,12,12.5,13.74,1,15.35,14.2,11.83,18.34,12.5,,8.18,3,11.9,11.66,10.2,12.3,13.11,14.02,10.97,11.1,9.15,11.9,12,1,9,11.5,3.6742454422,20,10,17,-10
Green Bay,Seattle,4,-10.8,-9.42,-14,-5.08,-8.94,-12.47,-9,-14,-8.48,,-12.61,-10.4,-5.79,-6.53,-11.29,-4.84,-3,-8.1,-7.1,-5.17,-7.72,-10,2.5,-11.2,6,-16.39,-7,-7.11,-15.18,-2,,-6.26,-11,-9.1,-12.27,-11,-10.4,-9.35,-11.45,-12.17,-5.16,-6.33,-9,-9,-17,-5,-8.5,4.2925552207,17,23,17,6
Indianapolis,Arizona,6.5,23.07,10.59,19,19.02,15.61,17.6,17,17.5,9.26,,16.11,10.3,4.84,13.38,15.8,11.83,8,22.14,15.08,23.68,23.79,18,8,20.54,14,23.07,23.14,16.83,25.29,7.5,,11.97,14,17.2,17.23,15.5,11.8,14.68,21.59,17.51,14.94,8.39,16.11,24,-1,15,21.5,4.6689177904,13,17,17,4
Jacksonville,Tennessee,3.5,16.7,8.59,14,11.19,11.37,14.94,13,11.5,7.8,,10.8,11.3,6.75,10.21,12.49,8.17,6,13.75,13.25,13.68,15.97,11,5,14.44,9,19.43,14.44,10.45,17.64,5,,9.76,7,11.4,12.43,13.2,9.5,11.61,14.17,14.73,10.71,4.86,11.3,11,11,12,11.5,3.178985738,13,40,17,27
Kansas City,Cincinnati,7,3.67,0.4,1,1.09,2.25,2.25,5,3,0.63,,2.06,6.9,0.18,0.81,6.22,1.16,3,2.38,1.83,1.77,-2.91,6,6,2.54,7,2.21,5.28,3.28,-0.54,7,,2.01,-3,2.2,2.62,1.9,6.7,0.66,2.35,2.65,3.72,-2.87,2.21,1,-15,2,2.5,2.2248157106,3,37,17,34
Minnesota,Chicago,4,-2.96,-0.74,-4,1.08,-1.3,-2.87,0.01,3.5,0.65,,-3.37,-2,-0.29,-5.27,-1.52,-2.24,1,-3.69,-1.73,3,3.12,-2,2.5,-3.71,7,-0.93,-5.31,1.67,-4.77,3.5,,-0.39,1,-2.7,-1.49,-0.7,-0.4,-6.25,-4.86,0.49,1.54,-2.92,-1.52,-2,2,2,-0.5,2.8360451033,10,34,17,24
N.Y. Jets,Buffalo,-1.5,1.18,3.42,0.25,4.03,1.22,0.44,2,3.5,-0.93,,-1.97,-1.7,-1.62,1.48,0.88,1.98,-1,2.55,1.36,-3.1,10.3,4,-0.5,2.07,1,0.92,1.45,3.3,-2.04,-1,,1.4,-7,0.4,0.93,0.8,0.8,1.07,2.44,1.33,2.77,1.43,1.36,4,7,4,8.5,2.1798346095,26,30,17,4
New England,Miami,5.5,10.84,3.47,8,8.74,7.48,7.47,10,3.5,3.98,,5.04,6.2,2.84,4.92,8.12,4.35,4,4.07,6.33,-0.1,-1.45,12,5.5,8.53,14,10.23,11.88,7.31,9.34,4.5,,6,7,7.4,6.85,6.8,6.3,5.72,8.41,3.56,9.93,4.26,7.31,11,11,9,11.5,2.7702483488,28,26,17,-2
Oakland,N.Y. Giants,-9,-6.58,-3.87,-8,-3.07,-6.14,-6.77,-4,-18.5,-9.07,,-9.42,-8.3,-9.37,-4.87,-6.42,-3.1,-6,-4.03,-5.41,-11,-6.47,-3,-8.5,-6.05,3,-6.76,-6.54,-5.66,-6.79,-7.5,,-2.81,-3,-5.8,-6.33,-4.7,-7.8,-8.8,-6.76,-5.7,-4.53,-10.14,-6.42,-9,-9,-3,-6.5,3.4030181418,30,21,17,-9
Philadelphia,Washington,-7.5,-1.75,-4.85,-4,0.48,-3.89,-3.32,-2,-6,-5.85,,-7.5,-10.7,-5,-2.58,-6.37,-1.07,-6,-5.78,-1.68,-1,-3.52,-7,-7,-3.52,12,-2.03,-1.48,-2.44,-5.2,-7,,-0.54,-7,-3.4,-3.18,-1.5,-8.7,-8.17,-4.28,-4.18,1.62,-6.2,-3.52,-6,-9,2,-0.5,3.8303433126,31,20,17,-11
Pittsburgh,Detroit,13.5,16.48,12.57,13,13.46,14.51,12.81,16,21.5,12.44,,16.15,20.4,10.1,12.38,17.8,9.43,11,18.86,12.2,16,15.16,22,13.5,17.35,12,14.94,18.77,13.21,18.65,15,,9.24,10,13.1,13.06,10.6,15.1,13.08,18.89,13.18,13.53,14.11,13.53,16,10,15,14.5,3.3926655553,21,35,17,14
San Diego,Denver,10.5,1.14,2.09,0.25,4.03,2.57,-0.09,3,5,1.34,,1.44,1.6,0.56,2.51,2.73,2.32,5,4.64,2.45,1.94,7.16,6,9,3.63,6,-0.89,4.54,2.2,-2.21,7,,1.14,7,2.6,1.6,-0.3,1.3,0.56,4.88,0.62,4.46,3.18,2.45,6,3,4,6.5,2.1933671763,23,7,17,-16
San Francisco,Houston,-1,4.65,4.49,3,-0.98,1.62,4.58,2,9,0.2,,3.14,2.1,1.84,2.06,4.77,2.09,1,2.72,3.17,-3.64,-0.41,2,-0.5,3.1,-5,8.46,0.22,1.04,7,1,,4.06,-4,3.9,3.06,6.1,3.4,2.89,1.88,6.92,2.69,-1.48,2.1,-5,-4,3,-4.5,2.9504343402,17,20,17,3
Tampa Bay,New Orleans,13.5,13.71,9.28,12,10.15,10.85,13.48,10,9,10.54,,11.91,12.1,11.32,10.24,12.74,8.28,11,10.93,13.68,12,10.11,11,13,13.56,2,14.8,12.66,10.49,19.93,13,,9.03,7,10.5,12.72,11.7,11.2,9.64,13.38,11.57,10.37,10.72,11,11,6,12,7.5,2.9297526043,13,27,17,14
Cincinnati,Pittsburgh,-3,1.7,0.2,0.25,-2.02,-1.39,1.52,-3,-0.5,-5.66,,-2.55,-4.3,-2.04,0.22,-3.35,0.89,-1,-1.93,1.78,-2.83,-9.9,-6,-3,0.44,-5,3.51,-0.32,-1.62,-2.6,-2,,2.27,-1,0.4,-0.01,2.6,-0.5,3.16,-0.36,-1.13,0.33,-4.58,-1,5,-10,-2,2.5,2.4038598889,31,17,18,-14
N.Y. Giants,Carolina,2.5,6.84,2.26,4,2.4,2.41,5.02,0.01,8,5.05,,-0.56,0.01,8.04,1.64,3.15,2.26,3,0.6,3.04,7.72,-5.01,-4,2.5,5.51,-4,6.36,7.38,1.33,5.3,3,,4.47,-3,4.6,4.19,4.9,2.4,3.58,6.06,2.12,3.65,-0.03,3,3,-8,3,1.5,3.1374424212,23,0,18,-23
New England,Jacksonville,8,1.72,-5.37,0.25,3.52,2.62,0.41,4,-11,-0.86,,-0.05,2.3,-2.66,0.62,2.36,1.26,5,-0.18,2.21,-1.24,-6.37,5,7,1.74,9,0.54,2.58,4.6,-1.18,7,,1.92,7,1.5,1.15,1.1,5.2,0.14,2.02,-0.59,7.1,1.75,1.92,10,10,6,9.5,3.7456400748,3,28,18,25
Tampa Bay,Washington,2.5,-0.37,0.41,-0.25,1.23,-0.95,0.2,-2,-6,-1.98,,-2.54,-2.7,1.37,1.46,-3.22,1.88,1,-3.43,1.65,0.92,-3.74,-3,2,-2,3,1.61,-2.27,0.53,-0.56,2,,1.45,1,-1.8,-0.35,1.7,-5.5,2.72,-3.36,1.75,3.78,-0.81,-0.37,-3,-9,2,-3.5,2.4047479916,17,10,18,-7
