Week,Day,Date,,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,spread
17,Sun,January 3,box,W,KC,@,DEN,44,24,524,2,512,3,
17,Sun,January 3,box,W,DAL,,PHI,24,0,474,1,228,1,
17,Sun,January 3,box,W,ATL,@,TB,20,10,397,3,206,2,
17,Sun,January 3,box,W,BUF,,IND,30,7,403,0,157,3,
17,Sun,January 3,box,W,CAR,,NO,23,10,327,0,213,3,
17,Sun,January 3,box,W,CHI,@,DET,37,23,418,0,349,2,
17,Sun,January 3,box,W,NYJ,,CIN,37,0,320,0,72,3,
17,Sun,January 3,box,W,CLE,,JAX,23,17,300,1,328,1,
17,Sun,January 3,box,W,GB,@,ARI,33,7,345,1,187,3,
,,Playoffs,,,,,,,,,,,
WildCard,Sat,January 9,box,W,NYJ,@,CIN,24,14,353,0,281,2
WildCard,Sat,January 9,box,W,DAL,,PHI,34,14,426,1,340,4
WildCard,Sun,January 10,box,W,BAL,@,NE,33,14,268,2,196,4
WildCard,Sun,January 10,box,W,ARI,,GB,51,45,531,1,493,3
Division,Sat,January 16,box,W,IND,,BAL,20,3,275,1,270,4
Division,Sat,January 16,box,W,NO,,ARI,45,14,418,0,359,2
Division,Sun,January 17,box,W,MIN,,DAL,34,3,323,0,248,3
Division,Sun,January 17,box,W,NYJ,@,SD,17,14,262,1,344,2
ConfChamp,Sun,January 24,box,W,IND,,NYJ,30,17,461,1,388,1
ConfChamp,Sun,January 24,box,W,NO,,MIN,31,28,257,1,475,5
SuperBowl,Sun,February 7,box,W,NO,N,IND,31,17,332,0,432,1
