HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEPFZH,LINEBIHL,LINEBURD,VSCORE,HSCORE,WEEK
Dallas,Arizona,7,2,4.14,1.82,-4.23,-3,5.13,6.05,7.4,0.4,7.61,4.13,4.9,2.7,2.67,4.36,8.93,4.84,5.86,10,8.56,3,2.22,7.99,,7,48,8
Indianapolis,New England,8.5,0.65,7.2,2.27,7.62,-3,3.54,7.24,5.5,4.96,6.22,5.5,5.5,8.3,2.24,10.89,5.28,5.03,5.73,8,5.8,5,7.16,7.02,,23,30,8
Jacksonville,Washington,-4,-7.29,-8.81,-9.69,-8.8,-13,-7.45,-7.29,-4.1,-9.98,-0.63,-3.32,-9.7,-6.5,-5.08,-2.83,-4.64,-6.29,-5.05,-2,-7.5,-6,-11.54,-5.09,,35,16,8
Kansas City,St. Louis,-7,-4.72,-1.23,-5.45,-13.25,-17,-4.52,-2.63,0.1,-3.39,-1.5,-2.08,-2.5,0.9,-5.52,-0.62,-0.96,-3.46,0.89,-5,-2.5,-5,0.47,-2.04,,34,54,8
Minnesota,Buffalo,6.5,7.5,6.89,4.26,13.74,9,15.04,12.73,8.3,11.74,9.36,10.08,9.9,6.8,4.48,10.22,8.72,9.62,11.73,8,13.73,8,5.72,13,,27,31,8
N.Y. Jets,Miami,3,-1.14,-0.33,-1.69,4.23,-1,2.33,3.95,3.9,5.36,1.33,2.06,4.2,-2.7,-1.35,-4.96,1.7,1.09,-4.24,6,2.96,-1,-1.33,2.7,,37,40,8
Oakland,Seattle,7.5,6.35,13.92,7.17,6.95,9,13.81,12.54,13.1,14.5,8.3,12.73,18,8.6,7.22,13.71,8.22,11.33,9.94,12,12.52,9,12.66,13.17,,3,31,8
Philadelphia,Chicago,6.5,5.35,18.04,9.09,-2.17,3,8.4,9.14,9.3,11.01,10.44,13.4,14.4,14,8.76,21.34,15.67,11.31,12.18,7,13.35,9,17.49,15.99,,9,13,8
Pittsburgh,Cleveland,9,7.77,17.18,11.91,3.5,15,13.59,9.08,15,12.62,12.28,10.51,26.2,6.9,10.68,17,12.99,13.34,9.07,12,17.38,8,13.68,15.13,,0,22,8
Tampa Bay,Detroit,8,3.31,12.66,7.74,16.41,-1,5.28,0.87,10,6.47,8.65,7.81,7.3,8.3,7.23,11.24,12.81,7.55,8.72,10,8.75,3,12.81,12.63,,28,14,8
Arizona,New Orleans,-6,-5.97,-9.48,-14.28,-9.65,-7,-6.46,-0.17,-1.3,-7.69,-3.4,-3.19,-10.4,-5.6,-12.31,-7.43,-8.16,-7.69,-13.44,-3,-7.72,-6,-12.13,-10.18,-16.3,21,10,9
Atlanta,Carolina,-3,-2.85,-4.82,-7.61,-3.4,-14.5,-0.61,3.42,-2.6,-1.9,-1.33,-3.56,-2.9,-3.7,-6.64,-8.05,-5.93,-3.91,-2.31,-1,-2.3,-4,-4.12,-3.41,-5.4,12,13,9
Baltimore,Pittsburgh,4.5,2.02,4.5,1.87,-2.94,-4.75,3.7,5.06,5.8,2.97,3.16,4.02,-4.3,4.2,1.78,2.81,3.16,2.4,3.72,6,-0.37,2,5.47,6.08,-1.3,9,6,9
Buffalo,N.Y. Jets,3.5,-3.42,5.22,-5.58,-13.36,-4.25,-2.86,-3.26,-1.3,-5.54,0.29,-4.11,-3.9,0.2,-4.82,-1.12,-0.49,-2.21,4.6,0,-2.95,-4,4.77,-2.61,-4,20,23,9
Cleveland,Cincinnati,-3,0.86,1.49,-0.03,15,-6.75,1.76,5.17,-3.7,0.64,2.93,3.02,-5.2,3.5,0.24,4.71,2.35,0.6,3.99,2,0.78,1,-0.24,3.23,-6.5,12,3,9
Dallas,Jacksonville,4,1.07,2.47,0.12,-10.76,14,4.21,7.78,3.6,4.18,3.88,2.88,6.8,4.9,2.22,8.18,8.59,5.22,4.86,5,5.22,3,0.59,4.15,12.1,23,17,9
