HOME,ROAD,LINE,AVG,STD,T,EFF,LINETODD,LINESAG,LINEPZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINEED,LINEMCMC,LINEMASS,LINEMORE,LINEPYTH,LINEEFF,LINECPA,VSCORE,HSCORE,WEEK
Detroit,St. Louis,-3.5,0.71,3.61,1.16,,-4,0.64,1.48,3.49,4.89,2,3.95,6.3,1.56,1.38,0.22,-4,-5.88,-4.9,-3.91,27,31,9
Green Bay,Chicago,9,6.68,1.92,-1.21,,10,3.78,4.75,4.83,6.45,6.67,10.01,7.16,10.14,5.88,6.32,6,5.32,4.6,8.03,14,13,9
Indianapolis,Kansas City,3.5,-0.65,3.75,-1.11,,-5,0.18,-3.56,-1.65,9.12,-11,1.21,1.29,1.77,-2.34,2.99,3,-0.94,0,0.02,17,25,9
Miami,Tennessee,3,6.77,3.13,1.21,,9,4.64,10.88,10.58,-7.15,9.67,7.83,5.47,2.63,9.45,6.76,5,3.23,2.8,3.86,0,17,9
Minnesota,Dallas,7,5.77,1.97,-0.63,,,5.55,1.44,6.95,13.45,6,4.84,7.03,8.26,7.05,6.71,7,2.3,2.5,9.85,17,27,9
N.Y. Jets,Arizona,7,7.26,3.7,0.07,,12,3.21,11.99,7.43,11.73,6.33,4.94,0.56,13.79,7.89,8.58,6,8.19,5.8,7.01,7,12,9
New Orleans,Tampa Bay,-3.5,-5.85,4.01,-0.59,,7,-5.92,-3.45,-12.08,-6.63,-11.67,-7.17,-1.48,-5.32,-11.24,-4.68,-3,-0.25,1.4,-5.25,31,16,9
San Diego,Denver,-1.5,4.36,4.81,1.22,,6.5,4.51,3.83,1.42,-5.42,8,9.62,10.01,-5.55,1.79,4.09,11,2.44,2.8,-0.04,33,17,9
San Francisco,Pittsburgh,3,-1.67,3.93,-1.19,,-1.5,-1.82,-8.53,-4.2,-4.81,3.33,-2.55,4.13,3.87,-2.78,1.13,-3,-6.52,-2.9,-4.37,27,6,9
Seattle,Cincinnati,14,20.99,4.18,1.67,,24,13.87,20.08,27.7,19.79,22,22.92,13.8,19.64,26.63,20.87,23,19.76,14.4,20.38,20,37,9
Washington,Buffalo,4,4.56,3.01,0.19,,13.5,1.35,3.53,6.27,7.82,9.33,3.88,2.75,3.32,-2.01,5.8,7,4.91,4.9,7.35,34,17,9
Arizona,Detroit,-5.5,-11.37,4.52,-1.43,,-16,-12.17,-15.49,-15.36,-28.34,-22,-11.47,-7.17,-5.66,-15.83,-8.88,-10,-8.06,-4.3,-12.74,19,23,10
Buffalo,Miami,3,-0.71,4.17,-0.96,,-6,-1.7,-0.58,-1.7,0.56,-13,-1.16,0.24,3.39,-1.64,2.34,-1,2.33,2.7,-0.64,3,23,10
Chicago,Minnesota,-6.5,-3.26,4.29,0.7,,-5,-2.94,1.2,-7.78,-5.79,-8,-0.16,4.32,-6.48,-8.57,-1.04,-4,-2.45,-0.5,-7.22,27,24,10
Cincinnati,Tennessee,-10,-10.1,3.24,-0.13,,-14,-10.28,-5.44,-13.22,-17.15,-14,-9.94,-5.66,-14.99,-12.38,-9.34,-12,-8.31,-6.4,-10.67,24,14,10
Dallas,Green Bay,-3,4.06,3.19,2.16,,4,0.19,5.98,4.02,19.95,0,1.57,3.52,5.44,2.2,6.83,8,8.03,6.2,-0.43,13,27,10
Jacksonville,Baltimore,13,14.61,2.1,0.85,,18,9.9,13.32,14.4,8.16,17,13.24,13.14,16.84,13.58,15.68,17,15.82,12.4,16.25,3,6,10
N.Y. Giants,Indianapolis,-3,-5.42,3.2,-0.89,,-3.5,-8.92,-2.73,-8.58,-3.36,-5,-7.63,-2.07,-2.56,-8.72,-6.09,-8,-1.46,-0.3,-9.74,27,19,10
New England,N.Y. Jets,6,8.29,3.76,0.64,,16.5,6.23,8.09,6.34,6.77,11,11.69,14.17,-0.65,6.58,7.46,8,9.49,7,11.14,24,17,10
New Orleans,San Francisco,-1,-1.74,3.32,-0.3,,0,-4.5,2.13,-4.51,0.65,-7,-3.4,-0.73,-3.1,-4.82,-1.39,-2,4.15,3.1,-0.12,6,24,10
Oakland,San Diego,7,5.2,3.74,-0.49,,7,1.54,13.03,6.37,-3.07,-1,4.57,3.09,5.25,5.86,4.89,3,7.63,5.5,6.52,9,28,10
Philadelphia,Washington,-6,-5.43,3.57,0.12,,-15,-7.35,-6.26,-11.12,-15.3,2,-5.8,-0.84,-7.52,-4.92,-3.79,-7,-5.86,-3.8,-9.62,28,35,10
Pittsburgh,Cleveland,14.5,18.42,4.2,1,,23,13.56,26.9,22.4,3.82,15,19,12.19,17.72,20.47,18.53,19,20.62,15,17.74,16,15,10
Seattle,Denver,5.5,7.28,4.34,0.42,,13.5,5.54,9.85,4.74,5.52,-2,10.14,13.17,2.47,5.02,7.09,11,9.29,7,10.07,17,20,10
