Home,Road,line,linesag,linepz,lineARGH,lineed,lineavg,linescrp,linepig,lineray,linecpa,linemass,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linehank,linel2,linepfz2,linel1,linel2h,linefox,linefree,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,open,linestr,lineself,linefly,linegrn,linecoff,lineray2,lineesp,lineadler,linetsr,linetsr2,linelog,vscore,hscore,week
Kansas City,Oakland,-2.5,-0.83,1.29,0.25,-2,0.32,-0.17,-3,-1.5,5.83,-0.5,0.41,3.9,1.22,-1.95,3.09,-1.18,-4,2.89,1.94,4.45,8.16,1,-1,-0.39,0,-0.22,-1.81,-0.22,-6.6,-3,2.02,2.02,2.42,0.15,0.8,0.8,2.3,,,,,10,20,8
Minnesota,Chicago,1,-2.91,4.93,-4,-7,-2.81,-5.46,-2,-4.6,-2.5,-2.27,1.59,-1.7,-0.98,0.45,-3.54,0.69,-2,-6.78,-2.86,-0.36,-8.45,-4,0,-5.85,1,-3.7,-2.26,-5.28,-9.2,2,-2.63,-1.89,0.61,-4.33,-4.33,-6.1,-2.2,,,,,7,25,8
N.Y. Jets,Cleveland,3,0.83,-0.33,-0.25,-3,-0.75,-0.81,1,3.7,0.67,-0.98,-0.7,-1.7,4.48,-8.06,-1.44,-4.09,1,-8.79,0.18,-6.55,-16.57,-2,3,-5.06,0,3.89,-2.85,1.03,-5.8,3,-0.61,1.72,4.75,-3.36,-0.39,2.4,-1.7,,,,,24,21,8
New England,Denver,3,0.34,-5.57,1,6,0.3,-1.27,2,2.3,-0.57,1.47,-1.45,-6.7,-1.23,2.11,-2.6,2.35,1,2.87,0.14,-1.45,-3.95,4,2,1.81,2,-0.5,1.04,5.6,-3.1,3,1.4,0.63,-2.7,-0.83,1.16,-1.4,-1.5,,,,,24,16,8
New Orleans,Atlanta,4,8.54,2.12,9,2,7.26,9,6,9.5,5.47,6.14,5.29,4.6,16.22,-0.08,6.09,0.52,6,9.2,4.43,6.82,11.32,5,5,9.28,6,12.9,4.72,4.57,9,3.5,4.54,8.12,16.17,6.91,8.69,15,5.3,,,,,37,35,8
Philadelphia,N.Y. Giants,7,8.48,10.07,8,13,12.03,11.13,15,10.5,18.55,11.43,11.36,17.1,11.4,15.6,15.22,9.49,7,19.37,11.95,23.45,25.9,16,6,14.69,10,6.28,12.08,11.38,7.4,6.5,16.7,7.04,8.18,12.51,10.81,7.2,11.8,,,,,3,17,8
San Francisco,Arizona,8,5.58,-3.69,5,9,5.64,6.92,11,7,2.19,5.94,2.52,2.4,5.41,4,5.35,3.47,5,12.84,2.32,11.73,16.17,10,8,7.03,11,5.03,6.15,2.44,2.4,8,3.49,4.27,3.6,5.16,6.39,5,3.5,,,,,28,38,8
Washington,Indianapolis,0,-0.5,4.65,-1,-1,-0.31,1.92,0,1.3,-2.09,1.04,-0.46,0.2,-7.03,-4.89,2.5,-1.16,-3,-3.42,2.44,-10.45,-19.37,3,1,1.14,-1,-0.5,-0.77,1.93,-1.4,0,-0.52,2.15,2.08,1.74,0.44,0.5,2.2,,,,,21,26,8
Arizona,St. Louis,-3,3.78,1.8,5,-1,3.67,5.36,-4,0.5,5.85,0.79,4.95,0,8,6.19,3.38,4.7,1,-0.01,2.26,0,10.25,-3,0,5.91,-1,6.41,1.3,4.61,5.6,-4,5.08,6.03,7.58,10.9,3.89,10.7,6.7,8.91,8,0.09,,27,14,9
Atlanta,Baltimore,7.5,4.9,8.02,6,7,6.8,11.55,7,3.8,9.41,3.61,6.87,8.1,5.78,12.12,9.95,7.57,6,10.13,8.24,13,6.96,5,4,9.27,4,3.57,6.47,5.14,8.8,7,9.86,5.16,4.93,8.52,3.56,1,10,7.53,3,0.03,,17,20,9
Buffalo,New England,2.5,0.66,1.94,-1,-6,0.72,-0.6,1,-1.6,1.17,2.7,8.05,9.8,-0.34,2.63,4.94,3.49,7,-6.83,-1.23,-8,-23.94,-2,-1,-1.7,0,2,-0.68,0.61,3.1,3,1.87,1.65,4.9,0.97,0.04,-0.4,8.2,4.81,-4,-0.04,,38,7,9
Chicago,Philadelphia,-6.5,-6.7,-10.09,-8,-11,-10.02,-10.11,-11,-8.8,-12.76,-7.72,-9.79,-19.4,-8.65,-12.32,-12.55,-6.77,0,-14.31,-15.8,-18,-14.04,-13,-1,-11.89,-6,-5.26,-9.16,-8.67,-14.9,-6,-15.84,-3.96,-3.77,-12.05,-11.51,-2.6,-12.2,-10.04,-14,-0.14,,19,13,9
Cleveland,Pittsburgh,-3,-1.71,-2.13,-1,-4,-2.55,0.09,-5,-3.9,-3.53,-1.5,0.51,-3.9,-3.54,0.82,-2.59,1.67,-2,-3.96,-2.88,-11,-3.8,-6,1,-1.9,-1,-1.43,-2.08,-2.87,-5.8,-3,-3.4,0.62,1.05,-2.78,-3.08,-2,-4.7,0.12,-6,-0.05,,23,20,9
Detroit,Dallas,3,2.31,1.57,2,2,1.51,2.17,0,0.5,3.73,3.4,1.61,1.2,4.03,2.08,2.44,2.15,1,0.22,0.45,-5,5.42,-3,0,1.91,0,3.01,1.48,1.24,3,3,-1.13,3.07,4.89,3.55,2.34,4.4,2.3,1.74,-1,-0.01,,7,9,9
Green Bay,Miami,4,3.43,4.39,5,8,5.44,7.7,5,7.6,11.24,6.19,5.12,8.6,6.13,2.86,9.26,2.78,6,-2.11,8.76,-4,5.96,7,2,6.06,4,5.71,2.02,5.3,5.1,6,3.82,4.61,5.31,8.67,6.32,6.4,8.6,5.5,8,0.11,,10,24,9
Houston,Cincinnati,3,9.65,6.67,6,4,8.02,10.43,7,5,8.98,6.29,6.34,13.4,7.75,7.4,10.42,8.85,6,10.46,9.5,8,4.42,7,1,11.11,1,11.02,7.89,5.79,19.7,3,-19.42,9.05,8.18,18.66,9.47,6.3,9.1,10.6,22,0.23,,38,3,9
Indianapolis,Tennessee,3,6.11,4.41,7,6,6.07,7.32,5,5.1,6.14,4.68,3.68,1.7,6.83,7.08,5.76,5.13,6,8.03,5.49,11,14.96,4,5,8.24,5,6.38,5.93,3.19,3.8,3.5,6.2,5.23,5.5,9.79,6.8,10.5,4.6,6.61,7,0.07,,23,15,9
N.Y. Giants,Jacksonville,3,2.14,3.38,1,1,2.4,3.18,3,4.2,4.43,1.24,1.33,3.4,3.87,-3.75,4.08,-0.43,1,1.48,0.16,9,-1.17,1,3,3.58,2,3.23,1.1,1.59,4,3,1.36,2.76,2.05,4.83,2.31,2.1,6,1.5,1,0.02,,17,24,9
